#
# Run File created 3/07/2013 3:15:18 PM
#

#
# 
#

# Ch0_Incident WP                     Moving          5.8326(x - zero)
# Ch1_Phase WP                        Moving          5.5685(x - zero)
# Ch2_WP1                             Moving          13.894(x - zero)
# Ch3_WP2                             Moving          13.466(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Calibration" F=POINT 
0.000000 0.068825 0.456941 0.245746 -0.079554 
1.000000 5.832582 5.568508 13.893538 13.466476 

TITLE="Data"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Data" F=POINT 
0.000000 -5.140210 0.176111 0.237670 -0.221923 
0.005000 -5.087352 0.190292 0.239281 -0.230303 
0.010000 -5.024181 0.206085 0.241859 -0.246096 
0.015000 -4.954563 0.219299 0.244438 -0.259310 
0.020000 -4.878821 0.234447 0.246049 -0.269301 
0.025000 -4.795989 0.249272 0.247338 -0.277681 
0.030000 -4.704133 0.265065 0.250239 -0.289605 
0.035000 -4.606797 0.281179 0.250561 -0.304753 
0.040000 -4.502371 0.298261 0.252817 -0.313778 
0.045000 -4.389242 0.315343 0.254107 -0.318934 
0.050000 -4.271602 0.332424 0.256363 -0.331182 
0.055000 -4.148805 0.349506 0.258941 -0.343751 
0.060000 -4.020529 0.366265 0.258941 -0.352453 
0.065000 -3.889352 0.383347 0.260552 -0.355354 
0.070000 -3.748828 0.400751 0.261842 -0.366312 
0.075000 -3.605404 0.416866 0.262809 -0.376303 
0.080000 -3.455212 0.433303 0.264420 -0.382749 
0.085000 -3.298897 0.449417 0.264742 -0.386939 
0.090000 -3.135813 0.467144 0.266676 -0.394351 
0.095000 -2.964350 0.481647 0.268932 -0.402087 
0.100000 -2.786763 0.498728 0.268610 -0.405954 
0.105000 -2.602085 0.514843 0.269577 -0.408210 
0.110000 -2.407095 0.530636 0.270221 -0.410466 
0.115000 -2.205014 0.542238 0.270866 -0.418846 
0.120000 -1.998421 0.555452 0.271188 -0.422713 
0.125000 -1.784738 0.568989 0.272155 -0.417879 
0.130000 -1.571699 0.584459 0.272800 -0.422391 
0.135000 -1.355116 0.596061 0.274089 -0.425292 
0.140000 -1.137888 0.607342 0.273444 -0.424970 
0.145000 -0.919371 0.617011 0.273122 -0.419813 
0.150000 -0.703433 0.629258 0.274411 -0.421424 
0.155000 -0.490718 0.639249 0.275700 -0.424647 
0.160000 -0.278647 0.648596 0.275378 -0.421102 
0.165000 -0.068511 0.658909 0.276345 -0.412400 
0.170000 0.141948 0.665999 0.276345 -0.412722 
0.175000 0.351762 0.673735 0.276667 -0.414334 
0.180000 0.556419 0.680180 0.276345 -0.407888 
0.185000 0.763332 0.684693 0.276667 -0.398864 
0.190000 0.969601 0.692750 0.276990 -0.397252 
0.195000 1.173291 0.696940 0.277634 -0.394351 
0.200000 1.376981 0.701774 0.277956 -0.387261 
0.205000 1.583895 0.705642 0.277312 -0.375658 
0.210000 1.788552 0.707898 0.277634 -0.371146 
0.215000 1.993209 0.709509 0.277956 -0.366956 
0.220000 2.199155 0.710476 0.278601 -0.359221 
0.225000 2.402523 0.714021 0.277634 -0.344396 
0.230000 2.603635 0.714988 0.280212 -0.340528 
0.235000 2.806680 0.714988 0.278601 -0.334405 
0.240000 3.006181 0.713054 0.277956 -0.324736 
0.245000 3.202458 0.714666 0.278279 -0.308943 
0.250000 3.397769 0.713054 0.278279 -0.302497 
0.255000 3.591146 0.711765 0.278601 -0.297018 
0.260000 3.780333 0.708220 0.277634 -0.282837 
0.265000 3.967265 0.707575 0.278279 -0.268656 
0.270000 4.153229 0.702419 0.276990 -0.258021 
0.275000 4.335004 0.700163 0.278601 -0.253508 
0.280000 4.514201 0.696617 0.277634 -0.240617 
0.285000 4.686307 0.693395 0.277312 -0.224179 
0.290000 4.856157 0.688882 0.277312 -0.213866 
0.295000 5.017950 0.686626 0.276990 -0.208065 
0.300000 5.171041 0.681792 0.276990 -0.190983 
0.305000 5.319943 0.681147 0.276667 -0.175191 
0.310000 5.459820 0.674701 0.276990 -0.165522 
0.315000 5.593251 0.670834 0.276345 -0.156820 
0.320000 5.716691 0.665677 0.275378 -0.141672 
0.325000 5.833685 0.662777 0.274733 -0.123301 
0.330000 5.944556 0.657297 0.274089 -0.115888 
0.335000 6.045435 0.650529 0.273444 -0.106542 
0.340000 6.135679 0.644406 0.272477 -0.092361 
0.345000 6.215609 0.639249 0.271188 -0.074312 
0.350000 6.284581 0.633448 0.270866 -0.064321 
0.355000 6.342595 0.627002 0.267643 -0.056264 
0.360000 6.383204 0.620234 0.268288 -0.042083 
0.365000 6.411889 0.616044 0.266998 -0.024679 
0.370000 6.428971 0.609276 0.266031 -0.013398 
0.375000 6.435739 0.603797 0.264742 -0.005663 
0.380000 6.431871 0.594128 0.262486 0.009162 
0.385000 6.415756 0.588004 0.261197 0.024310 
0.390000 6.390295 0.581881 0.259586 0.037202 
0.395000 6.356131 0.574468 0.257974 0.044937 
0.400000 6.311654 0.566088 0.255073 0.058796 
0.405000 6.256218 0.558998 0.253462 0.074588 
0.410000 6.189180 0.550940 0.250884 0.082646 
0.415000 6.107639 0.543527 0.250239 0.092637 
0.420000 6.008371 0.537082 0.247016 0.102628 
0.425000 5.892021 0.528380 0.244438 0.119710 
0.430000 5.759879 0.520644 0.242182 0.127767 
0.435000 5.609366 0.511298 0.240248 0.134213 
0.440000 5.446605 0.500662 0.237347 0.148394 
0.445000 5.273210 0.491960 0.233802 0.161286 
0.450000 5.086922 0.483903 0.232835 0.170632 
0.455000 4.892577 0.471978 0.230257 0.171921 
0.460000 4.690819 0.461987 0.227356 0.187392 
0.465000 4.481327 0.451029 0.223811 0.204473 
0.470000 4.265711 0.442327 0.222844 0.207696 
0.475000 4.043004 0.429757 0.219621 0.211564 
0.480000 3.813208 0.418799 0.216720 0.220266 
0.485000 3.578577 0.408808 0.214142 0.231546 
0.490000 3.337500 0.398495 0.213497 0.237992 
0.495000 3.087721 0.387214 0.210919 0.242504 
0.500000 2.832141 0.376901 0.208663 0.248628 
0.505000 2.573661 0.365298 0.206085 0.260552 
0.510000 2.309057 0.356274 0.205118 0.264420 
0.515000 2.036074 0.344671 0.203184 0.264420 
0.520000 1.762446 0.333391 0.199316 0.273122 
0.525000 1.483661 0.321466 0.198672 0.276667 
0.530000 1.201009 0.309864 0.197060 0.282469 
0.535000 0.920612 0.300195 0.195771 0.284402 
