#
# Run File created 3/07/2013 3:49:39 PM
#

#
# 
#

# Ch0_Incident WP                     Moving          5.8326(x - zero)
# Ch1_Phase WP                        Moving          5.5685(x - zero)
# Ch2_WP1                             Moving          13.894(x - zero)
# Ch3_WP2                             Moving          13.466(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Calibration" F=POINT 
0.000000 0.080681 0.380043 0.241668 -0.089890 
1.000000 5.832582 5.568508 13.893538 13.466476 

TITLE="Data"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Data" F=POINT 
0.000000 -1.198802 0.396883 0.195127 -0.142639 
0.005000 -1.153681 0.391404 0.196093 -0.142961 
0.010000 -1.104369 0.383025 0.198027 -0.143928 
0.015000 -1.052480 0.378835 0.198994 -0.145862 
0.020000 -0.995433 0.370777 0.199639 -0.143606 
0.025000 -0.935164 0.366910 0.202862 -0.141994 
0.030000 -0.874250 0.359819 0.204151 -0.144573 
0.035000 -0.808179 0.354663 0.204151 -0.145539 
0.040000 -0.742109 0.347894 0.204795 -0.144895 
0.045000 -0.672493 0.344027 0.207374 -0.145217 
0.050000 -0.602877 0.335970 0.210597 -0.144895 
0.055000 -0.529716 0.331780 0.211241 -0.145217 
0.060000 -0.458166 0.326945 0.212853 -0.143283 
0.065000 -0.385327 0.320822 0.214787 -0.143606 
0.070000 -0.308943 0.312764 0.218010 -0.142961 
0.075000 -0.235782 0.307608 0.219299 -0.143606 
0.080000 -0.162299 0.302129 0.221555 -0.143283 
0.085000 -0.086559 0.296327 0.225100 -0.138771 
0.090000 -0.012431 0.290526 0.227034 -0.141350 
0.095000 0.061696 0.285691 0.228968 -0.141672 
0.100000 0.133891 0.280535 0.230579 -0.137482 
0.105000 0.206729 0.276023 0.234447 -0.136837 
0.110000 0.278279 0.269899 0.236703 -0.140705 
0.115000 0.348539 0.265387 0.237992 -0.138449 
0.120000 0.416866 0.261519 0.240892 -0.136193 
0.125000 0.483581 0.257652 0.243793 -0.131036 
0.130000 0.549651 0.251851 0.246372 -0.134581 
0.135000 0.616688 0.248628 0.247338 -0.131681 
0.140000 0.676313 0.244115 0.250239 -0.126524 
0.145000 0.737871 0.240248 0.253462 -0.124913 
0.150000 0.798785 0.235736 0.256363 -0.126524 
0.155000 0.856153 0.232191 0.258296 -0.122656 
0.160000 0.911588 0.228645 0.260230 -0.120723 
0.165000 0.968312 0.227034 0.263453 -0.115888 
0.170000 1.019879 0.223811 0.266031 -0.117822 
0.175000 1.070479 0.219943 0.267643 -0.115888 
0.180000 1.120757 0.218010 0.269254 -0.112988 
0.185000 1.166845 0.216076 0.272155 -0.112343 
0.190000 1.208744 0.214464 0.274089 -0.111376 
0.195000 1.248386 0.212208 0.275056 -0.110409 
0.200000 1.284805 0.212531 0.276667 -0.106864 
0.205000 1.316390 0.210274 0.279246 -0.104286 
0.210000 1.345397 0.208663 0.280857 -0.106864 
0.215000 1.371180 0.205762 0.282146 -0.104608 
0.220000 1.391807 0.205440 0.284402 -0.099773 
0.225000 1.408244 0.205118 0.285691 -0.097517 
0.230000 1.422425 0.205118 0.288592 -0.098162 
0.235000 1.430160 0.201572 0.288914 -0.094939 
0.240000 1.435317 0.201250 0.290204 -0.091394 
0.245000 1.437895 0.199639 0.292782 -0.090105 
0.250000 1.434350 0.200283 0.294393 -0.093005 
0.255000 1.427259 0.199316 0.296005 -0.090427 
0.260000 1.417591 0.200928 0.295683 -0.087526 
0.265000 1.400509 0.202862 0.297616 -0.086237 
0.270000 1.382138 0.201572 0.297939 -0.087204 
0.275000 1.358933 0.200928 0.296972 -0.086237 
0.280000 1.332183 0.203829 0.297939 -0.081080 
0.285000 1.299631 0.204473 0.300195 -0.082370 
0.290000 1.263534 0.204795 0.300839 -0.085270 
0.295000 1.223247 0.204151 0.300195 -0.083659 
0.300000 1.177481 0.207374 0.300195 -0.080758 
