#
# Run File created 3/07/2013 2:42:25 PM
#

#
# 
#

# Ch0_Incident WP                     Moving          5.8326(x - zero)
# Ch1_Phase WP                        Moving          5.5685(x - zero)
# Ch2_WP1                             Moving          13.894(x - zero)
# Ch3_WP2                             Moving          13.466(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Calibration" F=POINT 
0.000000 0.025137 0.386535 0.266570 -0.069920 
1.000000 5.832582 5.568508 13.893538 13.466476 

TITLE="Data"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Data" F=POINT 
0.000000 0.534503 0.236058 0.480035 0.182557 
0.005000 0.514521 0.223489 0.477779 0.169988 
0.010000 0.491638 0.210274 0.476812 0.152906 
0.015000 0.469077 0.199316 0.473912 0.137758 
0.020000 0.443938 0.186747 0.471333 0.127445 
0.025000 0.420088 0.177723 0.467466 0.113586 
0.030000 0.394305 0.166765 0.466177 0.096504 
0.035000 0.369166 0.157096 0.462954 0.080067 
0.040000 0.343705 0.146138 0.459408 0.068142 
0.045000 0.316954 0.138080 0.455863 0.051383 
0.050000 0.289237 0.128089 0.453285 0.031078 
0.055000 0.260552 0.120354 0.451029 0.015931 
0.060000 0.232835 0.113908 0.446839 0.002716 
0.065000 0.201572 0.106495 0.442327 -0.013076 
0.070000 0.171599 0.099727 0.440071 -0.033381 
0.075000 0.142592 0.091992 0.435881 -0.049818 
0.080000 0.110041 0.086513 0.430402 -0.064966 
0.085000 0.080390 0.084257 0.426212 -0.082692 
0.090000 0.048160 0.080067 0.422345 -0.101707 
0.095000 0.018187 0.075233 0.418155 -0.117500 
0.100000 -0.011465 0.071365 0.413643 -0.130069 
0.105000 -0.041760 0.068465 0.408808 -0.148118 
0.110000 -0.072378 0.068465 0.405263 -0.167778 
0.115000 -0.103963 0.067820 0.400751 -0.186149 
0.120000 -0.133937 0.066853 0.395272 -0.197429 
0.125000 -0.164555 0.065886 0.389148 -0.214511 
0.130000 -0.197429 0.066531 0.386892 -0.229659 
0.135000 -0.226436 0.067498 0.381091 -0.245773 
0.140000 -0.257054 0.068465 0.375612 -0.256731 
0.145000 -0.287994 0.069109 0.370777 -0.270268 
0.150000 -0.317323 0.072977 0.366588 -0.288316 
0.155000 -0.345363 0.074588 0.360142 -0.300886 
0.160000 -0.373725 0.078456 0.354018 -0.309265 
0.165000 -0.401120 0.083612 0.349506 -0.321513 
0.170000 -0.426903 0.088125 0.344994 -0.338917 
0.175000 -0.452042 0.091025 0.339837 -0.347619 
0.180000 -0.476859 0.096504 0.333391 -0.354065 
0.185000 -0.500387 0.101339 0.327590 -0.365023 
0.190000 -0.522303 0.108107 0.321789 -0.377914 
0.195000 -0.544541 0.112619 0.315987 -0.385972 
0.200000 -0.566780 0.120032 0.308574 -0.391129 
0.205000 -0.587729 0.125833 0.302451 -0.400153 
0.210000 -0.607067 0.134535 0.296972 -0.407243 
0.215000 -0.625115 0.139047 0.289881 -0.413689 
0.220000 -0.643164 0.149038 0.282791 -0.414656 
0.225000 -0.658634 0.157096 0.275378 -0.420457 
0.230000 -0.671848 0.167087 0.268610 -0.426581 
0.235000 -0.684740 0.172566 0.261197 -0.428515 
0.240000 -0.696987 0.181268 0.253784 -0.428515 
0.245000 -0.708590 0.191581 0.246049 -0.428515 
0.250000 -0.717292 0.200606 0.237992 -0.432382 
0.255000 -0.726638 0.207696 0.230257 -0.429804 
0.260000 -0.733084 0.218654 0.221877 -0.427870 
0.265000 -0.739530 0.228968 0.213820 -0.426903 
0.270000 -0.744687 0.239603 0.207374 -0.427548 
0.275000 -0.749521 0.247983 0.198672 -0.424003 
0.280000 -0.753067 0.257652 0.189325 -0.419813 
0.285000 -0.755323 0.267643 0.180623 -0.415623 
0.290000 -0.755645 0.276990 0.172888 -0.412400 
0.295000 -0.756934 0.286981 0.164509 -0.407566 
0.300000 -0.755000 0.298261 0.155484 -0.398219 
0.305000 -0.752744 0.308252 0.147749 -0.391129 
0.310000 -0.747910 0.318243 0.140659 -0.387583 
0.315000 -0.741142 0.327268 0.132279 -0.380170 
0.320000 -0.735663 0.338226 0.124222 -0.368890 
0.325000 -0.727283 0.348217 0.115842 -0.361477 
0.330000 -0.718903 0.357886 0.108107 -0.354065 
0.335000 -0.709879 0.367877 0.100694 -0.346007 
0.340000 -0.698599 0.377223 0.092637 -0.332471 
0.345000 -0.686351 0.388504 0.084579 -0.320546 
0.350000 -0.673137 0.396883 0.079423 -0.313778 
0.355000 -0.659279 0.406874 0.072332 -0.302820 
0.360000 -0.643486 0.415254 0.065242 -0.289283 
0.365000 -0.626082 0.425890 0.058796 -0.277681 
0.370000 -0.608033 0.433947 0.054284 -0.268012 
0.375000 -0.589340 0.442649 0.048805 -0.255764 
0.380000 -0.569680 0.451029 0.042359 -0.241261 
0.385000 -0.547120 0.461020 0.037847 -0.226113 
0.390000 -0.522947 0.469400 0.033657 -0.216444 
0.395000 -0.497486 0.477779 0.029789 -0.203553 
0.400000 -0.472025 0.485514 0.024955 -0.190016 
0.405000 -0.444630 0.495183 0.022054 -0.176157 
0.410000 -0.417879 0.500985 0.020765 -0.164555 
0.415000 -0.391129 0.509364 0.018187 -0.151341 
0.420000 -0.362122 0.517099 0.015608 -0.135871 
0.425000 -0.331504 0.525479 0.014641 -0.122012 
