NO_OF_FRAMES	12040
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-03, 12:51:24	15101.51832919
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	Ice 2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	99.37134	108.93623	1.58562	0.45290	-0.12001	0.12778	1.03762	1.00000	-0.00223	0.00209	0.00221	0.99997	0.00790	-0.00211	-0.00790	0.99997		-88.15637	-142.54725	-0.50370	-0.16181	0.44316	-1.05360	0.20649	0.99980	0.01839	-0.00773	-0.01841	0.99983	-0.00282	0.00768	0.00297	0.99997	
2	0.01000	99.26857	108.88165	1.54617	0.44497	-0.10317	0.12547	0.99704	1.00000	-0.00219	0.00180	0.00218	0.99997	0.00777	-0.00182	-0.00776	0.99997		-88.18295	-142.56284	-0.50003	-0.16498	0.45385	-1.05013	0.17002	0.99980	0.01833	-0.00792	-0.01835	0.99983	-0.00288	0.00787	0.00302	0.99996	
3	0.01500	99.27816	108.88152	1.52464	0.44639	-0.10263	0.12147	0.99229	1.00000	-0.00212	0.00179	0.00211	0.99997	0.00779	-0.00181	-0.00779	0.99997		-88.23427	-142.55566	-0.51972	-0.17039	0.45300	-1.05559	0.17781	0.99980	0.01842	-0.00791	-0.01845	0.99983	-0.00297	0.00785	0.00312	0.99996	
4	0.02000	99.29752	108.86528	1.54448	0.44640	-0.10288	0.12551	0.99530	1.00000	-0.00219	0.00180	0.00218	0.99997	0.00779	-0.00181	-0.00779	0.99997		-88.22225	-142.56018	-0.50333	-0.17399	0.45804	-1.05626	0.18527	0.99980	0.01843	-0.00799	-0.01846	0.99983	-0.00304	0.00794	0.00318	0.99996	
5	0.02500	99.25920	108.86466	1.52713	0.44839	-0.09572	0.12960	1.00747	1.00000	-0.00226	0.00167	0.00225	0.99997	0.00783	-0.00169	-0.00782	0.99997		-88.21238	-142.57759	-0.51977	-0.18092	0.45870	-1.05327	0.18451	0.99980	0.01838	-0.00801	-0.01841	0.99983	-0.00316	0.00795	0.00330	0.99996	
6	0.03000	99.27504	108.88529	1.52234	0.45436	-0.09661	0.12443	0.99306	1.00000	-0.00217	0.00169	0.00216	0.99997	0.00793	-0.00170	-0.00793	0.99997		-88.22344	-142.57612	-0.53165	-0.18835	0.45551	-1.05221	0.17387	0.99980	0.01836	-0.00795	-0.01839	0.99983	-0.00329	0.00789	0.00343	0.99996	
7	0.03500	99.30219	108.86564	1.52270	0.45520	-0.09590	0.12333	1.00422	1.00000	-0.00215	0.00167	0.00214	0.99997	0.00794	-0.00169	-0.00794	0.99997		-88.19257	-142.60404	-0.52748	-0.19536	0.45571	-1.05027	0.16823	0.99980	0.01833	-0.00795	-0.01836	0.99983	-0.00341	0.00789	0.00355	0.99996	
8	0.04000	99.29350	108.88855	1.50029	0.45807	-0.09236	0.12655	0.99955	1.00000	-0.00221	0.00161	0.00220	0.99997	0.00799	-0.00163	-0.00799	0.99997		-88.19746	-142.58118	-0.53984	-0.19871	0.45369	-1.05463	0.17637	0.99980	0.01841	-0.00792	-0.01843	0.99982	-0.00347	0.00785	0.00361	0.99996	
9	0.04500	99.28442	108.88847	1.51981	0.46272	-0.09093	0.12729	0.99703	1.00000	-0.00222	0.00159	0.00221	0.99996	0.00808	-0.00160	-0.00807	0.99997		-88.19505	-142.60220	-0.53565	-0.20399	0.46063	-1.05303	0.19460	0.99980	0.01838	-0.00804	-0.01841	0.99982	-0.00356	0.00797	0.00371	0.99996	
10	0.05000	99.22482	108.90728	1.50931	0.46667	-0.08530	0.12681	0.99839	1.00000	-0.00221	0.00149	0.00220	0.99996	0.00814	-0.00151	-0.00814	0.99997		-88.16331	-142.61648	-0.53946	-0.21280	0.45190	-1.05047	0.16280	0.99980	0.01833	-0.00789	-0.01836	0.99982	-0.00371	0.00782	0.00386	0.99996	
