NO_OF_FRAMES	12044
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-03, 14:18:23	20320.83681249
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	Ice 2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	90.72154	-86.42721	0.27600	0.81881	0.06530	-0.32138	1.02508	0.99998	0.00561	-0.00114	-0.00559	0.99988	0.01429	0.00122	-0.01428	0.99990		-110.99541	-110.09625	-0.49272	-0.29524	0.53995	-0.66131	0.24775	0.99989	0.01154	-0.00942	-0.01159	0.99992	-0.00515	0.00936	0.00526	0.99994	
2	0.01000	90.63647	-86.46988	0.25417	0.80593	0.08089	-0.32785	0.99749	0.99998	0.00572	-0.00141	-0.00570	0.99988	0.01407	0.00149	-0.01406	0.99990		-111.00564	-110.08179	-0.48536	-0.28747	0.54617	-0.65891	0.22414	0.99989	0.01150	-0.00953	-0.01155	0.99992	-0.00502	0.00947	0.00513	0.99994	
3	0.01500	90.66159	-86.48216	0.23028	0.79870	0.07209	-0.32595	0.99717	0.99998	0.00569	-0.00126	-0.00567	0.99989	0.01394	0.00134	-0.01393	0.99990		-110.95632	-110.06556	-0.48592	-0.28472	0.53745	-0.66063	0.21979	0.99989	0.01153	-0.00938	-0.01158	0.99992	-0.00497	0.00932	0.00508	0.99994	
4	0.02000	90.67772	-86.49632	0.22021	0.79050	0.06777	-0.32955	1.00415	0.99998	0.00575	-0.00118	-0.00573	0.99989	0.01380	0.00126	-0.01379	0.99990		-110.98185	-110.06926	-0.46489	-0.28053	0.54006	-0.66017	0.22698	0.99989	0.01152	-0.00943	-0.01157	0.99992	-0.00490	0.00937	0.00500	0.99994	
5	0.02500	90.65440	-86.51851	0.21778	0.78065	0.06734	-0.33047	0.99029	0.99998	0.00577	-0.00118	-0.00575	0.99989	0.01362	0.00125	-0.01362	0.99991		-110.98054	-110.05905	-0.47305	-0.27858	0.53507	-0.65840	0.21579	0.99989	0.01149	-0.00934	-0.01154	0.99992	-0.00486	0.00928	0.00497	0.99994	
6	0.03000	90.65870	-86.52554	0.20414	0.77097	0.06250	-0.33178	0.99555	0.99998	0.00579	-0.00109	-0.00578	0.99989	0.01346	0.00117	-0.01345	0.99991		-110.93780	-110.05546	-0.44832	-0.27463	0.52695	-0.65853	0.22518	0.99989	0.01149	-0.00920	-0.01154	0.99992	-0.00479	0.00914	0.00490	0.99995	
7	0.03500	90.70344	-86.54463	0.19605	0.75932	0.05643	-0.32632	0.99262	0.99998	0.00570	-0.00098	-0.00568	0.99990	0.01325	0.00106	-0.01325	0.99991		-110.91385	-110.05630	-0.44454	-0.27163	0.52321	-0.65684	0.20410	0.99989	0.01146	-0.00913	-0.01151	0.99992	-0.00474	0.00908	0.00485	0.99995	
8	0.04000	90.70798	-86.57626	0.18952	0.74679	0.04783	-0.32711	0.98726	0.99998	0.00571	-0.00083	-0.00570	0.99990	0.01303	0.00091	-0.01303	0.99991		-110.95517	-110.04808	-0.43526	-0.26745	0.52052	-0.65612	0.21475	0.99989	0.01145	-0.00908	-0.01149	0.99992	-0.00467	0.00903	0.00477	0.99995	
9	0.04500	90.68516	-86.59840	0.18319	0.73438	0.04767	-0.32713	0.98584	0.99998	0.00571	-0.00083	-0.00570	0.99990	0.01282	0.00091	-0.01281	0.99992		-110.91143	-110.05006	-0.42773	-0.26429	0.51709	-0.66077	0.22138	0.99989	0.01153	-0.00902	-0.01157	0.99992	-0.00461	0.00897	0.00472	0.99995	
10	0.05000	90.70101	-86.61156	0.16727	0.72174	0.04219	-0.32573	0.99633	0.99998	0.00568	-0.00074	-0.00568	0.99990	0.01260	0.00081	-0.01259	0.99992		-110.94579	-110.05074	-0.41842	-0.26219	0.51266	-0.65616	0.21964	0.99989	0.01145	-0.00895	-0.01149	0.99992	-0.00458	0.00889	0.00468	0.99995	
