NO_OF_FRAMES	12036
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-04, 10:21:34	92510.44658951
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	Ice 2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	76.81417	-27.33400	1.06215	0.44499	0.01291	9.18357	0.98516	0.98718	-0.15960	-0.00023	0.15960	0.98715	0.00777	-0.00102	-0.00770	0.99997		-94.97775	-204.81431	0.18880	-0.29619	0.36959	0.76358	0.44964	0.99989	-0.01333	-0.00645	0.01329	0.99990	-0.00517	0.00652	0.00508	0.99997	
2	0.01000	76.83397	-27.36338	1.07385	0.44169	0.01674	9.18146	0.96578	0.98719	-0.15956	-0.00029	0.15956	0.98716	0.00771	-0.00094	-0.00766	0.99997		-95.09655	-204.75043	0.17539	-0.28031	0.38755	0.76222	0.38922	0.99989	-0.01330	-0.00676	0.01327	0.99990	-0.00489	0.00683	0.00480	0.99997	
3	0.01500	76.80669	-27.34591	1.06939	0.44376	0.02040	9.18362	0.96140	0.98718	-0.15960	-0.00036	0.15960	0.98715	0.00775	-0.00088	-0.00770	0.99997		-95.06747	-204.74612	0.17039	-0.27777	0.38765	0.76082	0.39713	0.99989	-0.01328	-0.00677	0.01325	0.99990	-0.00485	0.00683	0.00476	0.99997	
4	0.02000	76.79866	-27.36097	1.06745	0.44216	0.02570	9.18086	0.96179	0.98719	-0.15955	-0.00045	0.15955	0.98716	0.00772	-0.00079	-0.00769	0.99997		-95.09699	-204.74713	0.17435	-0.27097	0.39079	0.75984	0.38257	0.99989	-0.01326	-0.00682	0.01323	0.99990	-0.00473	0.00688	0.00464	0.99997	
5	0.02500	76.82396	-27.35270	1.04289	0.44342	0.02418	9.18415	0.95799	0.98718	-0.15961	-0.00042	0.15961	0.98715	0.00774	-0.00082	-0.00771	0.99997		-95.10826	-204.74515	0.16625	-0.26961	0.39086	0.76054	0.38156	0.99989	-0.01327	-0.00682	0.01324	0.99990	-0.00471	0.00688	0.00461	0.99997	
6	0.03000	76.81877	-27.34685	1.04267	0.44608	0.02696	9.18083	0.96634	0.98719	-0.15955	-0.00047	0.15955	0.98716	0.00779	-0.00078	-0.00776	0.99997		-95.11835	-204.76430	0.16230	-0.26995	0.39234	0.76436	0.37702	0.99989	-0.01334	-0.00685	0.01331	0.99990	-0.00471	0.00691	0.00462	0.99997	
7	0.03500	76.80749	-27.35516	1.02753	0.44451	0.03587	9.18484	0.96826	0.98718	-0.15962	-0.00063	0.15962	0.98715	0.00776	-0.00062	-0.00776	0.99997		-95.10643	-204.74608	0.15306	-0.26241	0.39139	0.76041	0.38076	0.99989	-0.01327	-0.00683	0.01324	0.99990	-0.00458	0.00689	0.00449	0.99997	
8	0.04000	76.81891	-27.34840	1.01532	0.44963	0.03559	9.18470	0.96773	0.98718	-0.15962	-0.00062	0.15962	0.98715	0.00785	-0.00064	-0.00785	0.99997		-95.07493	-204.73383	0.16003	-0.25664	0.39806	0.76024	0.38057	0.99989	-0.01327	-0.00695	0.01324	0.99990	-0.00448	0.00701	0.00439	0.99997	
9	0.04500	76.81135	-27.33815	0.99492	0.45113	0.03828	9.18279	0.96317	0.98718	-0.15958	-0.00067	0.15959	0.98715	0.00787	-0.00060	-0.00788	0.99997		-95.12462	-204.74005	0.15685	-0.25578	0.39720	0.76195	0.38501	0.99989	-0.01330	-0.00693	0.01327	0.99990	-0.00446	0.00699	0.00437	0.99997	
10	0.05000	76.86838	-27.33478	0.99541	0.45515	0.03575	9.18367	0.97066	0.98718	-0.15960	-0.00062	0.15960	0.98715	0.00794	-0.00065	-0.00794	0.99997		-95.08550	-204.74581	0.14355	-0.25338	0.39455	0.75793	0.40425	0.99989	-0.01323	-0.00689	0.01320	0.99990	-0.00442	0.00694	0.00433	0.99997	
11	0.05500	76.67524	-27.43504	1.08901	0.45685	0.04691	9.19008	1.01250	0.98716	-0.15971	-0.00082	0.15971	0.98713	0.00797	-0.00047	-0.00800	0.99997		-95.07562	-204.74989	0.13463	-0.24780	0.39589	0.75631	0.38578	0.99989	-0.01320	-0.00691	0.01317	0.99990	-0.00432	0.00697	0.00423	0.99997	
12	0.06000	76.58370	-27.45184	1.08099	0.45901	0.05646	9.18780	1.00705	0.98717	-0.15967	-0.00099	0.15967	0.98714	0.00801	-0.00031	-0.00807	0.99997		-95.14484	-204.72092	0.12674	-0.24404	0.40276	0.76164	0.39493	0.99989	-0.01329	-0.00703	0.01326	0.99990	-0.00426	0.00709	0.00417	0.99997	
