NO_OF_FRAMES	12044
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-02, 18:01:31	3303988.65323494
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	Ice 2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	122.32313	-129.55469	-0.56951	0.51467	-0.14458	-0.09200	1.02792	1.00000	0.00161	0.00252	-0.00163	0.99996	0.00898	-0.00251	-0.00899	0.99996		-73.34449	-160.12745	-0.48152	-0.38898	0.30647	0.22285	0.30792	0.99998	-0.00389	-0.00535	0.00385	0.99997	-0.00679	0.00538	0.00677	0.99996	
2	0.01000	122.20368	-129.61381	-0.58424	0.50181	-0.12808	-0.10663	1.00598	1.00000	0.00186	0.00224	-0.00188	0.99996	0.00876	-0.00222	-0.00876	0.99996		-73.33112	-160.14281	-0.49000	-0.39033	0.30294	0.22529	0.27479	0.99998	-0.00393	-0.00529	0.00390	0.99997	-0.00681	0.00531	0.00679	0.99996	
3	0.01500	122.16936	-129.62601	-0.59243	0.50031	-0.12514	-0.10900	1.00321	1.00000	0.00190	0.00218	-0.00192	0.99996	0.00873	-0.00217	-0.00874	0.99996		-73.34450	-160.14211	-0.48557	-0.39339	0.30424	0.22285	0.27776	0.99998	-0.00389	-0.00531	0.00385	0.99997	-0.00687	0.00534	0.00685	0.99996	
4	0.02000	122.23826	-129.60475	-0.62330	0.50296	-0.13182	-0.10318	1.01261	1.00000	0.00180	0.00230	-0.00182	0.99996	0.00878	-0.00228	-0.00878	0.99996		-73.35330	-160.13567	-0.49821	-0.39408	0.30655	0.22637	0.26570	0.99998	-0.00395	-0.00535	0.00391	0.99997	-0.00688	0.00538	0.00686	0.99996	
5	0.02500	122.18986	-129.59452	-0.63700	0.50435	-0.12669	-0.10578	1.00701	1.00000	0.00185	0.00221	-0.00187	0.99996	0.00880	-0.00219	-0.00881	0.99996		-73.34528	-160.14697	-0.48170	-0.39426	0.30904	0.22439	0.27802	0.99998	-0.00392	-0.00539	0.00388	0.99997	-0.00688	0.00542	0.00686	0.99996	
6	0.03000	122.23016	-129.59354	-0.64449	0.50526	-0.13269	-0.10610	1.01115	1.00000	0.00185	0.00232	-0.00187	0.99996	0.00882	-0.00230	-0.00882	0.99996		-73.35771	-160.15306	-0.49788	-0.39805	0.30752	0.22687	0.26571	0.99998	-0.00396	-0.00537	0.00392	0.99997	-0.00695	0.00539	0.00693	0.99996	
7	0.03500	122.21853	-129.58061	-0.65683	0.50788	-0.13352	-0.10605	1.01710	1.00000	0.00185	0.00233	-0.00187	0.99996	0.00886	-0.00231	-0.00887	0.99996		-73.38247	-160.15965	-0.49791	-0.39838	0.31537	0.22546	0.28881	0.99998	-0.00394	-0.00550	0.00390	0.99997	-0.00695	0.00553	0.00693	0.99996	
8	0.04000	122.23080	-129.55684	-0.66545	0.50989	-0.12835	-0.10620	0.98892	1.00000	0.00185	0.00224	-0.00187	0.99996	0.00890	-0.00222	-0.00890	0.99996		-73.36494	-160.14685	-0.49857	-0.39725	0.31632	0.22786	0.27313	0.99998	-0.00398	-0.00552	0.00394	0.99997	-0.00693	0.00555	0.00691	0.99996	
9	0.04500	122.21373	-129.55743	-0.67147	0.51205	-0.13087	-0.10881	0.99883	1.00000	0.00190	0.00228	-0.00192	0.99996	0.00894	-0.00227	-0.00894	0.99996		-73.34660	-160.16068	-0.49880	-0.39709	0.31391	0.22342	0.27223	0.99998	-0.00390	-0.00548	0.00386	0.99997	-0.00693	0.00551	0.00691	0.99996	
10	0.05000	122.24969	-129.55233	-0.68944	0.50991	-0.13039	-0.10778	1.01315	1.00000	0.00188	0.00228	-0.00190	0.99996	0.00890	-0.00226	-0.00890	0.99996		-73.34868	-160.13878	-0.49512	-0.39595	0.32000	0.22295	0.28935	0.99998	-0.00389	-0.00558	0.00385	0.99997	-0.00691	0.00561	0.00689	0.99996	
11	0.05500	121.97333	-129.68284	-0.63628	0.51402	-0.12898	-0.08399	1.09794	1.00000	0.00147	0.00225	-0.00149	0.99996	0.00897	-0.00224	-0.00897	0.99996		-73.32826	-160.14009	-0.50401	-0.39593	0.31990	0.22660	0.27748	0.99998	-0.00395	-0.00558	0.00392	0.99997	-0.00691	0.00561	0.00689	0.99996	
12	0.06000	122.02059	-129.68267	-0.67501	0.51370	-0.13271	-0.07985	1.09666	1.00000	0.00139	0.00232	-0.00141	0.99996	0.00897	-0.00230	-0.00897	0.99996		-73.38170	-160.12402	-0.49954	-0.39587	0.32567	0.22591	0.28211	0.99998	-0.00394	-0.00568	0.00390	0.99997	-0.00691	0.00571	0.00689	0.99996	
13	0.06500	121.93741	-129.68136	-0.67692	0.51619	-0.12539	-0.08025	1.09970	1.00000	0.00140	0.00219	-0.00142	0.99996	0.00901	-0.00218	-0.00901	0.99996		-73.35965	-160.13497	-0.50024	-0.39481	0.32703	0.22584	0.27085	0.99998	-0.00394	-0.00571	0.00390	0.99997	-0.00689	0.00573	0.00687	0.99996	
14	0.07000	121.93274	-129.69962	-0.68802	0.51493	-0.12241	-0.07738	1.10198	1.00000	0.00135	0.00214	-0.00137	0.99996	0.00899	-0.00212	-0.00899	0.99996		-73.35888	-160.13242	-0.50037	-0.39516	0.32935	0.22761	0.26532	0.99998	-0.00397	-0.00575	0.00393	0.99997	-0.00690	0.00578	0.00687	0.99996	
15	0.07500	121.97498	-129.67885	-0.69844	0.51976	-0.13116	-0.08019	1.10165	1.00000	0.00140	0.00229	-0.00142	0.99996	0.00907	-0.00228	-0.00907	0.99996		-73.37453	-160.11717	-0.50060	-0.39382	0.33331	0.22879	0.26634	0.99998	-0.00399	-0.00582	0.00395	0.99997	-0.00687	0.00584	0.00685	0.99996	
16	0.08000	121.95815	-129.68359	-0.72206	0.51932	-0.12970	-0.07593	1.11406	1.00000	0.00133	0.00226	-0.00135	0.99996	0.00906	-0.00225	-0.00907	0.99996		-73.36551	-160.12035	-0.49755	-0.39064	0.34252	0.22585	0.28281	0.99997	-0.00394	-0.00598	0.00390	0.99997	-0.00682	0.00600	0.00679	0.99996	
17	0.08500	121.97891	-129.67265	-0.74143	0.52452	-0.12800	-0.07687	1.11890	1.00000	0.00134	0.00223	-0.00136	0.99996	0.00915	-0.00222	-0.00916	0.99996		-73.38061	-160.11319	-0.50593	-0.39138	0.34145	0.22675	0.26415	0.99997	-0.00396	-0.00596	0.00392	0.99997	-0.00683	0.00599	0.00681	0.99996	
18	0.09000	121.92893	-129.66510	-0.75057	0.52568	-0.12369	-0.07697	1.12350	1.00000	0.00134	0.00216	-0.00136	0.99996	0.00917	-0.00215	-0.00918	0.99996		-73.33672	-160.11690	-0.50694	-0.39137	0.34546	0.22738	0.26621	0.99997	-0.00397	-0.00603	0.00393	0.99997	-0.00683	0.00606	0.00681	0.99996	
19	0.09500	121.95682	-129.64563	-0.76682	0.52848	-0.12498	-0.07453	1.12012	1.00000	0.00130	0.00218	-0.00132	0.99996	0.00922	-0.00217	-0.00923	0.99996		-73.36935	-160.09626	-0.50326	-0.38666	0.35301	0.22540	0.27436	0.99997	-0.00393	-0.00616	0.00389	0.99997	-0.00675	0.00619	0.00672	0.99996	
20	0.10000	121.94842	-129.64329	-0.77964	0.53220	-0.12457	-0.07462	1.12744	1.00000	0.00130	0.00217	-0.00132	0.99996	0.00929	-0.00216	-0.00929	0.99995		-73.36798	-160.07534	-0.52470	-0.38480	0.35566	0.22385	0.28026	0.99997	-0.00391	-0.00621	0.00387	0.99997	-0.00672	0.00623	0.00669	0.99996	
21	0.10500	121.97471	-129.64559	-0.78559	0.53325	-0.12539	-0.07582	1.12409	1.00000	0.00132	0.00219	-0.00134	0.99996	0.00931	-0.00218	-0.00931	0.99995		-73.39455	-160.09299	-0.51656	-0.38355	0.36304	0.22694	0.27083	0.99997	-0.00396	-0.00634	0.00392	0.99997	-0.00669	0.00636	0.00667	0.99996	
22	0.11000	121.97072	-129.65303	-0.80334	0.53298	-0.12337	-0.07503	1.11977	1.00000	0.00131	0.00215	-0.00133	0.99996	0.00930	-0.00214	-0.00930	0.99995		-73.37881	-160.08043	-0.52582	-0.38127	0.36675	0.22379	0.27349	0.99997	-0.00391	-0.00640	0.00386	0.99997	-0.00665	0.00643	0.00663	0.99996	
23	0.11500	121.93505	-129.63390	-0.80867	0.53589	-0.12130	-0.07399	1.12783	1.00000	0.00129	0.00212	-0.00131	0.99996	0.00935	-0.00210	-0.00936	0.99995		-73.40016	-160.07120	-0.52568	-0.37945	0.36703	0.22327	0.26995	0.99997	-0.00390	-0.00641	0.00385	0.99997	-0.00662	0.00643	0.00660	0.99996	
24	0.12000	121.92365	-129.62994	-0.83094	0.53920	-0.11946	-0.07400	1.12773	1.00000	0.00129	0.00208	-0.00131	0.99995	0.00941	-0.00207	-0.00941	0.99995		-73.36646	-160.06600	-0.53542	-0.37735	0.37320	0.22625	0.27264	0.99997	-0.00395	-0.00651	0.00391	0.99997	-0.00659	0.00654	0.00656	0.99996	
25	0.12500	121.92291	-129.63434	-0.83707	0.54106	-0.11779	-0.07008	1.12753	1.00000	0.00122	0.00206	-0.00124	0.99995	0.00944	-0.00204	-0.00945	0.99995		-73.37402	-160.04892	-0.53596	-0.37437	0.37755	0.22429	0.27588	0.99997	-0.00391	-0.00659	0.00387	0.99997	-0.00653	0.00661	0.00651	0.99996	
26	0.13000	121.96819	-129.60567	-0.85470	0.54361	-0.12212	-0.07039	1.13580	1.00000	0.00123	0.00213	-0.00125	0.99995	0.00949	-0.00212	-0.00949	0.99995		-73.38142	-160.05526	-0.53222	-0.37344	0.38358	0.22487	0.27252	0.99997	-0.00392	-0.00669	0.00388	0.99997	-0.00652	0.00672	0.00649	0.99996	
