NO_OF_FRAMES	12041
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-04, 11:35:13	96928.76828211
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	Ice 2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	112.71494	71.13400	0.30508	0.34121	0.24875	3.75413	1.02521	0.99784	-0.06547	-0.00434	0.06550	0.99783	0.00596	0.00394	-0.00623	0.99997		-5.84953	-88.35249	-1.27920	-0.20561	0.49551	-0.22861	0.41312	0.99995	0.00399	-0.00865	-0.00402	0.99999	-0.00359	0.00863	0.00362	0.99996	
2	0.01000	112.63967	71.16074	0.34966	0.33986	0.25356	3.74245	1.00161	0.99786	-0.06527	-0.00443	0.06530	0.99785	0.00593	0.00403	-0.00621	0.99997		-5.91477	-88.29229	-1.27562	-0.20449	0.50817	-0.23789	0.38329	0.99995	0.00415	-0.00887	-0.00418	0.99998	-0.00357	0.00885	0.00361	0.99995	
3	0.01500	112.62022	71.16831	0.34985	0.33977	0.25346	3.74218	1.00124	0.99786	-0.06527	-0.00442	0.06529	0.99785	0.00593	0.00403	-0.00621	0.99997		-5.88092	-88.33162	-1.27504	-0.22152	0.50641	-0.23633	0.39964	0.99995	0.00412	-0.00884	-0.00416	0.99998	-0.00387	0.00882	0.00390	0.99995	
4	0.02000	112.61944	71.16001	0.34107	0.33932	0.24685	3.73822	0.99689	0.99786	-0.06520	-0.00431	0.06522	0.99785	0.00592	0.00391	-0.00619	0.99997		-5.90326	-88.32820	-1.26523	-0.23501	0.50225	-0.23420	0.39384	0.99995	0.00409	-0.00877	-0.00412	0.99998	-0.00410	0.00875	0.00414	0.99995	
5	0.02500	112.60853	71.17237	0.34906	0.33775	0.24503	3.73866	0.99849	0.99786	-0.06520	-0.00428	0.06523	0.99785	0.00589	0.00388	-0.00616	0.99997		-5.87176	-88.34916	-1.25633	-0.24910	0.49903	-0.23572	0.39302	0.99995	0.00411	-0.00871	-0.00415	0.99998	-0.00435	0.00869	0.00438	0.99995	
6	0.03000	112.64028	71.16376	0.33924	0.33539	0.23938	3.74018	0.99488	0.99786	-0.06523	-0.00418	0.06526	0.99785	0.00585	0.00379	-0.00611	0.99997		-5.86446	-88.35328	-1.25167	-0.26045	0.49919	-0.23523	0.39391	0.99995	0.00411	-0.00871	-0.00415	0.99998	-0.00455	0.00869	0.00458	0.99995	
7	0.03500	112.66749	71.18207	0.32689	0.34020	0.23144	3.73500	0.98900	0.99787	-0.06514	-0.00404	0.06516	0.99786	0.00594	0.00364	-0.00619	0.99997		-5.89730	-88.34826	-1.24599	-0.27364	0.49740	-0.23337	0.39979	0.99995	0.00407	-0.00868	-0.00411	0.99998	-0.00478	0.00866	0.00481	0.99995	
8	0.04000	112.68293	71.17187	0.32344	0.33664	0.22405	3.73542	0.99577	0.99787	-0.06515	-0.00391	0.06517	0.99786	0.00588	0.00352	-0.00612	0.99998		-5.80043	-88.38174	-1.22115	-0.29085	0.49124	-0.23429	0.39188	0.99995	0.00409	-0.00857	-0.00413	0.99998	-0.00508	0.00855	0.00511	0.99995	
9	0.04500	112.70076	71.16224	0.32787	0.33601	0.21849	3.73639	0.99541	0.99787	-0.06517	-0.00381	0.06519	0.99786	0.00586	0.00342	-0.00610	0.99998		-5.80951	-88.37871	-1.23256	-0.30204	0.48832	-0.23443	0.40369	0.99996	0.00409	-0.00852	-0.00414	0.99998	-0.00527	0.00850	0.00531	0.99995	
10	0.05000	112.71484	71.17398	0.32265	0.33695	0.21412	3.73903	0.99438	0.99786	-0.06521	-0.00374	0.06523	0.99785	0.00588	0.00335	-0.00611	0.99998		-5.79728	-88.39818	-1.19342	-0.32018	0.48595	-0.23607	0.38618	0.99996	0.00412	-0.00848	-0.00417	0.99998	-0.00559	0.00846	0.00562	0.99995	
