NO_OF_FRAMES	12032
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-03, 14:05:19	19536.50527158
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	Ice 2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	99.40101	-2.97523	0.83285	0.54866	-0.04381	0.80592	1.12100	0.99990	-0.01407	0.00076	0.01406	0.99986	0.00958	-0.00090	-0.00956	0.99995		-90.52438	-148.26495	-0.05234	-0.29107	0.38351	-0.61891	0.20965	0.99992	0.01080	-0.00669	-0.01084	0.99993	-0.00508	0.00664	0.00515	0.99996	
2	0.01000	99.26189	-2.96027	0.83391	0.55132	-0.02293	0.78619	1.04909	0.99991	-0.01372	0.00040	0.01372	0.99986	0.00962	-0.00053	-0.00962	0.99995		-90.64925	-148.20905	-0.10852	-0.27288	0.40883	-0.62388	0.17612	0.99992	0.01089	-0.00714	-0.01092	0.99993	-0.00476	0.00708	0.00484	0.99996	
3	0.01500	99.25679	-2.97025	0.82413	0.55106	-0.02715	0.78375	1.05493	0.99991	-0.01368	0.00047	0.01367	0.99986	0.00962	-0.00061	-0.00961	0.99995		-90.62130	-148.18044	-0.11750	-0.26640	0.40226	-0.62360	0.16092	0.99992	0.01088	-0.00702	-0.01092	0.99993	-0.00465	0.00697	0.00473	0.99996	
4	0.02000	99.24820	-2.96915	0.81283	0.55155	-0.02207	0.78216	1.05334	0.99991	-0.01365	0.00039	0.01365	0.99986	0.00963	-0.00052	-0.00962	0.99995		-90.62837	-148.17511	-0.12606	-0.26192	0.40570	-0.62248	0.17221	0.99992	0.01086	-0.00708	-0.01090	0.99993	-0.00457	0.00703	0.00465	0.99996	
5	0.02500	99.23328	-2.95942	0.81872	0.55307	-0.01874	0.78409	1.05789	0.99991	-0.01368	0.00033	0.01368	0.99986	0.00965	-0.00046	-0.00965	0.99995		-90.62001	-148.16951	-0.13036	-0.25851	0.40346	-0.62639	0.17879	0.99992	0.01093	-0.00704	-0.01096	0.99993	-0.00451	0.00699	0.00459	0.99997	
6	0.03000	99.23308	-2.95525	0.81301	0.55553	-0.01803	0.78514	1.05817	0.99991	-0.01370	0.00031	0.01370	0.99986	0.00970	-0.00045	-0.00969	0.99995		-90.62520	-148.16229	-0.15140	-0.25191	0.40109	-0.62163	0.16200	0.99992	0.01085	-0.00700	-0.01088	0.99993	-0.00440	0.00695	0.00447	0.99997	
7	0.03500	99.22781	-2.96209	0.80899	0.55439	-0.01779	0.78669	1.05325	0.99991	-0.01373	0.00031	0.01373	0.99986	0.00968	-0.00044	-0.00967	0.99995		-90.60974	-148.15011	-0.16456	-0.24786	0.39960	-0.62342	0.17019	0.99992	0.01088	-0.00697	-0.01091	0.99993	-0.00433	0.00693	0.00440	0.99997	
8	0.04000	99.24284	-2.95935	0.80421	0.55692	-0.01695	0.78589	1.04918	0.99991	-0.01372	0.00030	0.01371	0.99986	0.00972	-0.00043	-0.00972	0.99995		-90.63139	-148.14272	-0.16880	-0.24316	0.40171	-0.62666	0.16050	0.99992	0.01094	-0.00701	-0.01097	0.99993	-0.00424	0.00696	0.00432	0.99997	
9	0.04500	99.23277	-2.96357	0.81253	0.55700	-0.01417	0.78969	1.06528	0.99991	-0.01378	0.00025	0.01378	0.99986	0.00972	-0.00038	-0.00972	0.99995		-90.63923	-148.13545	-0.18573	-0.23736	0.40259	-0.62398	0.17078	0.99992	0.01089	-0.00703	-0.01092	0.99993	-0.00414	0.00698	0.00422	0.99997	
10	0.05000	99.22304	-2.96397	0.79689	0.55825	-0.01317	0.78603	1.06057	0.99991	-0.01372	0.00023	0.01372	0.99986	0.00974	-0.00036	-0.00974	0.99995		-90.67563	-148.12824	-0.20206	-0.23390	0.40595	-0.62158	0.17292	0.99992	0.01085	-0.00709	-0.01088	0.99993	-0.00408	0.00704	0.00416	0.99997	
11	0.05500	99.02942	-3.09248	0.86822	0.55966	-0.01485	0.79253	1.12897	0.99990	-0.01383	0.00026	0.01383	0.99986	0.00977	-0.00039	-0.00976	0.99995		-90.66228	-148.11915	-0.19878	-0.22730	0.40676	-0.62734	0.17565	0.99991	0.01095	-0.00710	-0.01098	0.99993	-0.00397	0.00706	0.00404	0.99997	
12	0.06000	99.01085	-3.09296	0.87386	0.56243	-0.01254	0.79429	1.13717	0.99990	-0.01386	0.00022	0.01386	0.99986	0.00982	-0.00035	-0.00981	0.99995		-90.66391	-148.08623	-0.22010	-0.22095	0.40486	-0.62637	0.16509	0.99992	0.01093	-0.00707	-0.01096	0.99993	-0.00386	0.00702	0.00393	0.99997	
