NO_OF_FRAMES	12057
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-04, 10:13:41	92036.55583704
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	Ice 2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	77.24575	-57.85295	0.53754	0.38483	0.01516	8.48415	0.92576	0.98906	-0.14754	-0.00026	0.14753	0.98903	0.00672	-0.00073	-0.00668	0.99998		-95.20084	-159.89723	-0.19869	-0.26291	0.40228	0.84132	0.35116	0.99987	-0.01468	-0.00702	0.01465	0.99988	-0.00459	0.00709	0.00449	0.99996	
2	0.01000	77.17223	-57.81186	0.56799	0.38927	0.02812	8.47997	0.93900	0.98907	-0.14746	-0.00049	0.14746	0.98904	0.00679	-0.00052	-0.00679	0.99998		-95.27351	-159.84376	-0.19613	-0.25380	0.42230	0.83224	0.31563	0.99987	-0.01452	-0.00737	0.01449	0.99989	-0.00443	0.00743	0.00432	0.99996	
3	0.01500	77.15940	-57.81938	0.57262	0.39132	0.03142	8.48068	0.93274	0.98907	-0.14748	-0.00055	0.14748	0.98904	0.00683	-0.00046	-0.00684	0.99998		-95.26839	-159.84190	-0.20008	-0.25246	0.41853	0.83508	0.32081	0.99987	-0.01457	-0.00730	0.01454	0.99988	-0.00441	0.00737	0.00430	0.99996	
4	0.02000	77.17357	-57.80934	0.56654	0.39466	0.02887	8.47663	0.92993	0.98908	-0.14741	-0.00050	0.14741	0.98905	0.00689	-0.00052	-0.00689	0.99998		-95.26416	-159.85574	-0.19568	-0.25568	0.41745	0.83753	0.30284	0.99987	-0.01462	-0.00729	0.01458	0.99988	-0.00446	0.00735	0.00436	0.99996	
5	0.02500	77.25491	-57.81266	0.33156	0.39569	0.00254	8.47740	1.18277	0.98907	-0.14742	-0.00004	0.14742	0.98905	0.00691	-0.00097	-0.00684	0.99998		-95.25238	-159.85383	-0.19157	-0.25611	0.41726	0.83761	0.31320	0.99987	-0.01462	-0.00728	0.01459	0.99988	-0.00447	0.00735	0.00436	0.99996	
6	0.03000	77.17377	-57.80400	0.57530	0.39824	0.03661	8.47976	0.92276	0.98907	-0.14746	-0.00064	0.14746	0.98904	0.00695	-0.00039	-0.00697	0.99998		-95.25852	-159.83763	-0.19547	-0.25675	0.41492	0.83334	0.30350	0.99987	-0.01454	-0.00724	0.01451	0.99988	-0.00448	0.00731	0.00438	0.99996	
7	0.03500	77.19090	-57.81361	0.56880	0.40236	0.03803	8.47841	0.92909	0.98907	-0.14744	-0.00066	0.14744	0.98905	0.00702	-0.00038	-0.00704	0.99998		-95.24883	-159.84497	-0.19150	-0.25726	0.41478	0.83244	0.30358	0.99987	-0.01453	-0.00724	0.01450	0.99988	-0.00449	0.00730	0.00438	0.99996	
8	0.04000	77.16544	-57.80400	0.58749	0.40373	0.04354	8.47770	0.92503	0.98907	-0.14742	-0.00076	0.14743	0.98905	0.00705	-0.00029	-0.00708	0.99997		-95.20499	-159.84554	-0.20418	-0.25812	0.40714	0.83396	0.30766	0.99987	-0.01455	-0.00711	0.01452	0.99988	-0.00450	0.00717	0.00440	0.99996	
9	0.04500	77.15990	-57.80058	0.58127	0.40640	0.04553	8.47564	0.92969	0.98908	-0.14739	-0.00079	0.14739	0.98905	0.00709	-0.00026	-0.00713	0.99997		-95.23691	-159.85521	-0.20805	-0.26041	0.41450	0.83294	0.31591	0.99987	-0.01454	-0.00723	0.01450	0.99988	-0.00454	0.00730	0.00444	0.99996	
10	0.05000	77.29454	-57.79925	0.34581	0.41200	0.01450	8.47762	1.18581	0.98907	-0.14742	-0.00025	0.14742	0.98905	0.00719	-0.00081	-0.00715	0.99997		-95.20630	-159.85163	-0.20403	-0.26159	0.40768	0.83223	0.33537	0.99987	-0.01452	-0.00712	0.01449	0.99988	-0.00457	0.00718	0.00446	0.99996	
